prob-0.55:, 0.9810855263157895, 0.8421052631578947, 0.8533333333333334, 0.847682119205298
Default RF:, 0.9761513157894737, 0.7738095238095238, 0.8666666666666667, 0.8176100628930819
prob-0.55:, 0.9407894736842105, 0.5153846153846153, 0.881578947368421, 0.6504854368932038
Default RF:, 0.9391447368421053, 0.5075757575757576, 0.881578947368421, 0.6442307692307692
prob-0.55:, 0.9695723684210527, 0.7191011235955056, 0.8421052631578947, 0.7757575757575758
Default RF:, 0.9605263157894737, 0.6206896551724138, 0.9473684210526315, 0.75
prob-0.55:, 0.9407894736842105, 0.5158730158730159, 0.8552631578947368, 0.6435643564356437
Default RF:, 0.9416118421052632, 0.5196850393700787, 0.868421052631579, 0.6502463054187192
prob-0.55:, 0.9564144736842105, 0.6074766355140186, 0.8552631578947368, 0.710382513661202
Default RF:, 0.953125, 0.584070796460177, 0.868421052631579, 0.6984126984126985
prob-0.55:, 0.9432565789473685, 0.5284552845528455, 0.8552631578947368, 0.6532663316582914
Default RF:, 0.9424342105263158, 0.5238095238095238, 0.868421052631579, 0.6534653465346535
